Epoch [1/40], Loss: 1.2419740823904672, Validation Accuracy: 89.09%
Epoch [2/40], Loss: 0.3425486018508673, Validation Accuracy: 92.0%
Epoch [3/40], Loss: 0.25454723921914896, Validation Accuracy: 94.13%
Epoch [4/40], Loss: 0.19989319649835427, Validation Accuracy: 95.2%
Epoch [5/40], Loss: 0.16190759385004638, Validation Accuracy: 95.16%
Epoch [6/40], Loss: 0.13563267688266933, Validation Accuracy: 96.29%
Epoch [7/40], Loss: 0.11737253280356526, Validation Accuracy: 97.03%
Epoch [8/40], Loss: 0.10350976392937203, Validation Accuracy: 97.43%
Epoch [9/40], Loss: 0.09347726208778719, Validation Accuracy: 97.58%
Epoch [10/40], Loss: 0.08512825084539752, Validation Accuracy: 97.77%
Epoch [11/40], Loss: 0.07855514252868791, Validation Accuracy: 97.78%
Epoch [12/40], Loss: 0.07307510300228993, Validation Accuracy: 97.88%
Epoch [13/40], Loss: 0.06853166132544478, Validation Accuracy: 98.18%
Epoch [14/40], Loss: 0.06434497651644051, Validation Accuracy: 98.05%
Epoch [15/40], Loss: 0.06087344807572663, Validation Accuracy: 98.06%
Epoch [16/40], Loss: 0.058101328224875036, Validation Accuracy: 98.26%
Epoch [17/40], Loss: 0.054779781665032105, Validation Accuracy: 98.34%
Epoch [18/40], Loss: 0.05253852178963522, Validation Accuracy: 98.35%
Epoch [19/40], Loss: 0.04970628074758376, Validation Accuracy: 98.03%
Epoch [20/40], Loss: 0.048022839720360935, Validation Accuracy: 98.37%
Epoch [21/40], Loss: 0.045939577917257945, Validation Accuracy: 98.39%
Epoch [22/40], Loss: 0.04405410662526265, Validation Accuracy: 98.52%
Epoch [23/40], Loss: 0.042590217785909774, Validation Accuracy: 98.5%
Epoch [24/40], Loss: 0.041676499542469776, Validation Accuracy: 98.59%
Epoch [25/40], Loss: 0.03948777116912727, Validation Accuracy: 98.69%
Epoch [26/40], Loss: 0.03864555861024807, Validation Accuracy: 98.6%
Epoch [27/40], Loss: 0.03727901710546575, Validation Accuracy: 98.6%
Epoch [28/40], Loss: 0.036352133636828515, Validation Accuracy: 98.65%
Epoch [29/40], Loss: 0.03479023927085412, Validation Accuracy: 98.57%
Epoch [30/40], Loss: 0.03428157058117601, Validation Accuracy: 98.64%
Epoch [31/40], Loss: 0.03252512122116362, Validation Accuracy: 98.67%
Epoch [32/40], Loss: 0.03187064307819431, Validation Accuracy: 98.72%
Epoch [33/40], Loss: 0.031124691296136008, Validation Accuracy: 98.45%
Epoch [34/40], Loss: 0.029710030948432782, Validation Accuracy: 98.58%
Epoch [35/40], Loss: 0.029265782945246125, Validation Accuracy: 98.74%
Epoch [36/40], Loss: 0.028645086335406328, Validation Accuracy: 98.55%
Epoch [37/40], Loss: 0.027456061152818925, Validation Accuracy: 98.78%
Epoch [38/40], Loss: 0.0265670040055799, Validation Accuracy: 98.66%
Epoch [39/40], Loss: 0.025930186050439563, Validation Accuracy: 98.75%
Epoch [40/40], Loss: 0.02522849372840331, Validation Accuracy: 98.76%
