Epoch [1/40], Loss: 0.5741926996409893, Validation Accuracy: 92.42%
Epoch [2/40], Loss: 0.23068600087116162, Validation Accuracy: 94.13%
Epoch [3/40], Loss: 0.16678425430630645, Validation Accuracy: 95.75%
Epoch [4/40], Loss: 0.1316765752248466, Validation Accuracy: 96.46%
Epoch [5/40], Loss: 0.10921556105837225, Validation Accuracy: 96.82%
Epoch [6/40], Loss: 0.09358682611336311, Validation Accuracy: 97.26%
Epoch [7/40], Loss: 0.08207483313201616, Validation Accuracy: 97.47%
Epoch [8/40], Loss: 0.07401395004863541, Validation Accuracy: 97.27%
Epoch [9/40], Loss: 0.06782364072899023, Validation Accuracy: 97.51%
Epoch [10/40], Loss: 0.06231766342806319, Validation Accuracy: 97.64%
Epoch [11/40], Loss: 0.05908640240163853, Validation Accuracy: 97.84%
Epoch [12/40], Loss: 0.05458093754015863, Validation Accuracy: 97.93%
Epoch [13/40], Loss: 0.051990793159541984, Validation Accuracy: 97.88%
Epoch [14/40], Loss: 0.04977884009014815, Validation Accuracy: 97.94%
Epoch [15/40], Loss: 0.047332052586910624, Validation Accuracy: 97.84%
Epoch [16/40], Loss: 0.04545107497212787, Validation Accuracy: 98.04%
Epoch [17/40], Loss: 0.043444222520726425, Validation Accuracy: 97.98%
Epoch [18/40], Loss: 0.042095286197339495, Validation Accuracy: 98.03%
Epoch [19/40], Loss: 0.04102730483748019, Validation Accuracy: 98.12%
Epoch [20/40], Loss: 0.039956064109380046, Validation Accuracy: 98.06%
Epoch [21/40], Loss: 0.039192625411475696, Validation Accuracy: 97.89%
Epoch [22/40], Loss: 0.038583336441467206, Validation Accuracy: 98.11%
Epoch [23/40], Loss: 0.037376801286203166, Validation Accuracy: 97.99%
Epoch [24/40], Loss: 0.03694891436646382, Validation Accuracy: 98.07%
Epoch [25/40], Loss: 0.03653197048852841, Validation Accuracy: 98.08%
Epoch [26/40], Loss: 0.03586210689740255, Validation Accuracy: 98.06%
Epoch [27/40], Loss: 0.03549587146379054, Validation Accuracy: 98.07%
Epoch [28/40], Loss: 0.0347918395527328, Validation Accuracy: 98.15%
Epoch [29/40], Loss: 0.034496688350724676, Validation Accuracy: 98.14%
Epoch [30/40], Loss: 0.03384982408179591, Validation Accuracy: 98.26%
Epoch [31/40], Loss: 0.03346260933515926, Validation Accuracy: 98.19%
Epoch [32/40], Loss: 0.03318612118406842, Validation Accuracy: 98.08%
Epoch [33/40], Loss: 0.03293603880486141, Validation Accuracy: 98.21%
Epoch [34/40], Loss: 0.032556846047906825, Validation Accuracy: 98.2%
Epoch [35/40], Loss: 0.03221435343613848, Validation Accuracy: 98.1%
Epoch [36/40], Loss: 0.03207548768570026, Validation Accuracy: 98.03%
Epoch [37/40], Loss: 0.0319077375663134, Validation Accuracy: 98.12%
Epoch [38/40], Loss: 0.03197702060453594, Validation Accuracy: 98.22%
Epoch [39/40], Loss: 0.03157116073494156, Validation Accuracy: 98.07%
Epoch [40/40], Loss: 0.031510488382385425, Validation Accuracy: 98.1%
