Epoch [1/40], Loss: 0.13603283341189845, Validation Accuracy: 98.32%
Epoch [2/40], Loss: 0.044442335245234874, Validation Accuracy: 98.54%
Epoch [3/40], Loss: 0.030623580403160502, Validation Accuracy: 99.02%
Epoch [4/40], Loss: 0.022545450623017254, Validation Accuracy: 98.87%
Epoch [5/40], Loss: 0.018871616513982607, Validation Accuracy: 99.07%
Epoch [6/40], Loss: 0.0140186098378326, Validation Accuracy: 99.26%
Epoch [7/40], Loss: 0.01186370837964157, Validation Accuracy: 99.22%
Epoch [8/40], Loss: 0.009031129123528783, Validation Accuracy: 99.32%
Epoch [9/40], Loss: 0.008360412269146064, Validation Accuracy: 99.1%
Epoch [10/40], Loss: 0.009323754102978695, Validation Accuracy: 99.12%
Epoch [11/40], Loss: 0.006116609605410207, Validation Accuracy: 99.26%
Epoch [12/40], Loss: 0.007219809885074587, Validation Accuracy: 99.21%
Epoch [13/40], Loss: 0.006408432536615743, Validation Accuracy: 99.23%
Epoch [14/40], Loss: 0.0040664081585781615, Validation Accuracy: 99.11%
Epoch [15/40], Loss: 0.004554350617819575, Validation Accuracy: 98.73%
Epoch [16/40], Loss: 0.003983992071858857, Validation Accuracy: 99.28%
Epoch [17/40], Loss: 0.005963747239549215, Validation Accuracy: 99.21%
Epoch [18/40], Loss: 0.005784248368850059, Validation Accuracy: 99.2%
Epoch [19/40], Loss: 0.004312516124131507, Validation Accuracy: 99.27%
Epoch [20/40], Loss: 0.003505592277275759, Validation Accuracy: 99.38%
Epoch [21/40], Loss: 0.0041629185276079545, Validation Accuracy: 99.15%
Epoch [22/40], Loss: 0.004134346693660294, Validation Accuracy: 99.32%
Epoch [23/40], Loss: 0.0037577961825549853, Validation Accuracy: 99.14%
Epoch [24/40], Loss: 0.005250516209553635, Validation Accuracy: 99.27%
Epoch [25/40], Loss: 0.006454763874983722, Validation Accuracy: 99.05%
Epoch [26/40], Loss: 0.007019870388080554, Validation Accuracy: 99.33%
Epoch [27/40], Loss: 0.004114292920001763, Validation Accuracy: 99.3%
Epoch [28/40], Loss: 0.005818280098955636, Validation Accuracy: 99.05%
Epoch [29/40], Loss: 0.004617668499863536, Validation Accuracy: 99.26%
Epoch [30/40], Loss: 0.002911353492027866, Validation Accuracy: 99.05%
Epoch [31/40], Loss: 0.001932960954368663, Validation Accuracy: 99.34%
Epoch [32/40], Loss: 0.0009146268781077382, Validation Accuracy: 99.32%
Epoch [33/40], Loss: 0.0024409697021676655, Validation Accuracy: 99.3%
Epoch [34/40], Loss: 0.004873778467012064, Validation Accuracy: 99.16%
Epoch [35/40], Loss: 0.008063707106339777, Validation Accuracy: 99.17%
Epoch [36/40], Loss: 0.006761350463344401, Validation Accuracy: 99.12%
Epoch [37/40], Loss: 0.004511786698166517, Validation Accuracy: 99.15%
Epoch [38/40], Loss: 0.0037135180265034985, Validation Accuracy: 99.13%
Epoch [39/40], Loss: 0.005435064475177322, Validation Accuracy: 99.21%
Epoch [40/40], Loss: 0.004569259041196491, Validation Accuracy: 99.18%
